"ID";"Questao";"Área"
"1";"Glory Ames, from the White Earth reservation, is frustrated that despite the presence of several indigenous reservations
near Moorhead, local Halloween stores still feature a western section with costumes such as “pow wow princess”.
Even worse, despite a long-running debate about racism and cultural appropriation, often prompted by backlash against
celebrities and politicians for donning offensive costumes, people continue to wear such costumes.
Last Halloween, Ames spotted a photo on Instagram of a girl dressed as a Native American with a bullet in her forehead.
She immediately reported it to the social media platform and had it removed.
“They blatantly take certain aspects of our culture, race, religion, and use it for their advantage and ignore the people living
it”, said Ames.
LIU, M. C. M. Disponível em: www.washingtonpost.com. Acesso em: 12 maio 2024 (adaptado).
Ao abordar um aspecto da celebração do Halloween, esse texto tem por objetivo
A denunciar a violência contra crianças indígenas.
B descrever costumes tradicionais em celebrações indígenas.
C valorizar as vestimentas características dos povos originários.
D criticar a exploração indevida de elementos da identidade indígena.
E sugerir ações de combate ao preconceito contra os povos originários.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"2";"My idea of philosophy is that if it is not relevant to human problems, if it does not tell us how we can go about eradicating
some of the misery in this world, then it is not worth the name of philosophy. I think Socrates made a very profound statement
when he asserted that philosophy is to teach us proper living. In this day and age “proper living” means liberation from the
urgent problems of poverty, economic necessity and indoctrination, mental oppression.
DAVIS, A. Lectures on Liberation. Washington: Smithsonian Libraries, 1971 (adaptado).
Nesse texto, ao discorrer sobre a relevância da filosofia, a escritora Angela Davis tem por objetivo
A criticá-la pela restrição temática.
B vinculá-la ao universo acadêmico.
C afastá-la da abordagem socrática.
D aproximá-la dos problemas sociais.
E responsabilizá-la pela pobreza humana.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"3";"Remember the sky that you were born under,
know each of the star’s stories.
Remember the moon, know who she is.
Remember the sun’s birth at dawn. [...]
Remember your birth, how your mother struggled
to give you form and breath [...]
Remember the earth whose skin you are:
red earth, black earth, yellow earth, white earth
brown earth, we are earth.
Remember the plants, trees, animal life who all have their
tribes, their families, their histories, too [...]
Remember you are all people and all people are you.
Remember you are this universe and this universe is you.
Remember all is in motion, is growing, is you.
HARJO, J. She Had Some Horses. Londres: W. Norton & Company, 1983 (fragmento).
Nesse poema, de uma autora de ascendência indígena, o eu lírico ressalta a
A potência dos astros celestes.
B origem das plantas e dos animais.
C importância do apego à terra natal.
D relação entre seres humanos e natureza.
E conexão entre o tempo real e o tempo imaginário.
2 
ENEM";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"4";"It is true that all children are special, simply because they are chil
pretty quickly. Life then can be difficult and even disappointing. Th
generation” of university students, who are so delicate they can’t hand
of this fragility run deep in modern culture. So, an approach of the wor
boy/girl, life will be amazing forever” is not a message designed to aid b
not about feeding ego — telling your children how wonderful th
LOTT, T
Nesse texto, a expressão “snowflake generation” é usada para
A abordar obstáculos impostos a universitários.
B destacar mensagens de incentivo a estudantes.
C estimular ações proativas em situações de emergência.
D retratar relações conflituosas em ambiente universitário.
E apontar posturas de uma juventude avessa a contrariedades.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"5";"Nesse texto, a pergunta “What is sleep?”, em uma das embalagen
A escassez de horas de sono.
B estímulo a um descanso de qualidade.
C gasto com bebidas que combatem a insônia.
D consumo de bebidas que causam dependência.
E necessidade de um produto que provoque o sono.
ENEM
LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO | 1º DIA |
M2025
ldren. But most adults are not special, and children end up as adults
he shock of this may account for the emergence of the “snowflake
dle controversial ideas being put forward in their lectures. The roots
rld that states: “Life is wonderful, you’re special and, if you are a good
bouncing back from failure or confronting catastrophe. Resilience is
hey are — but strengthening it.
T. Disponível em: www.theguardian.com. Acesso em: 10 dez. 2017 (adaptado).
Disponível em: https://pt.foursquare.com. Acesso em: 14 maio 2024.
ns do produto, está relacionada ao(à)
M2025
| CADERNO 1 | AZUL 3
ENEM
Questões de 01 a 05 (opção espanhol)";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"6";"No que diz respeito ao gênero bilhete, a autora dessa crônica
A ressalta a formalidade na comunicação com as pessoas de sua c
B critica a ansiedade causada pela velocidade da comunicação.
C expressa a obrigatoriedade de concisão nas anotações.
D questiona a prática da escrita de próprio punho.
E apresenta a diversidade de usos no cotidiano.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"7";"O elemento que caracteriza esse texto como uma crônica é a
A defesa das opiniões da autora sobre um tema de interesse coletivo
B exposição sobre o uso de tecnologias nas práticas de escrita atua
C abordagem de fatos do contexto pessoal em uma perspectiva r
D utilização de recursos linguísticos para a interlocução direta co
E apresentação de acontecimentos segundo a ordem de sucess";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"8";"Nesse texto, o que caracteriza a escrita “de próprio punho” é a le
A utilização de tecnologias diversificadas.
B desenvolvimento de novos recursos de escrita.
C possibilidade de interações mediadas por telas.
D diversidade de fontes tipográficas que estão disponíveis.
E delimitação dos espaços onde a produção textual ocorre.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"9";"A autora conclui que as novas tecnologias de escrita
A evoluem para facilitar a vida cotidiana.
B alcançam diferentes realidades sociais.
C coexistem com outras já estabelecidas.
D promovem maior agilidade na comunicação.
E surgem nos contextos em que são necessárias.";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
"10";"O recurso linguístico usado para marcar a síntese da opinião da a
A emprego da primeira pessoa em “Estranhei muito na primeira
B utilização de locução adverbial em “Na verdade, o que import
C uso de pronome possessivo em “Minha letra, hoje, tem uma e
D adoção de termo autorreflexivo em “No escritório, costumo s
E substituição da expressão “Do punho ao pixel” (l. 44) pela exp
ENEM
LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS E REDAÇÃO | 1º DIA |
M2025
convivência.
o.
ais.
reflexiva.
om o leitor.
são no tempo.
etra manuscrita, enquanto a escrita digital é ilustrada pelo(a)
autora sobre a temática desenvolvida foi o(a)
a vez que escutei a expressão ‘de próprio punho’”. (l. 1)
tava era a autenticidade da minha caligrafia”. (l. 3-4)
espécie de alternância”. (l. 5-6)
ser mais suave comigo mesma”. (l. 30)
pressão “o punho e o pixel”. (l. 45)
M2025
| CADERNO 1 | AZUL 7
ENEM";"LINGUAGENS, CÓDIGOS E SUAS TECNOLOGIAS"
